Return As of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
Scheme Name,Objective,Type,Ret 6 Mth,Rank/Count,Ret 1 Yr,Rank/Count,Ret 2 Yr,Rank/Count,Ret 3 Yr,Rank/Count,Ret 5 Yr,Rank/Count,Ret 10 Yr,Rank/Count
Aditya Birla Sun Life Nifty 50 ETF,Equity: Large Cap,Open-ended,13.62,101 ( 156 ) ,27.17,99 ( 150 ) ,25.39,76 ( 130 ) ,16.89,53 ( 108 ) ,16.58,38 ( 91 ) ,13.45,15 ( 56 ) 
Aditya Birla Sun Life Nifty 50 Index Fund - Direct Plan,Equity: Large Cap,Open-ended,13.51,74 ( 156 ) ,26.93,76 ( 150 ) ,25.06,70 ( 130 ) ,16.55,54 ( 108 ) ,16.18,41 ( 91 ) ,12.69,39 ( 56 ) 
Aditya Birla Sun Life Nifty 50 Index Fund - Regular Plan,Equity: Large Cap,Open-ended,13.36,116 ( 156 ) ,26.55,119 ( 150 ) ,24.69,100 ( 130 ) ,16.21,86 ( 108 ) ,15.88,72 ( 91 ) ,12.45,43 ( 56 ) 
Aditya Birla Sun Life Nifty Bank ETF,Equity: Sectoral-Banking,Open-ended,11.84,27 ( 44 ) ,18.38,25 ( 38 ) ,26.53,17 ( 31 ) ,15.77,15 ( 27 ) ,-,-,-,-
Aditya Birla Sun Life Nifty Healthcare ETF,Equity: Sectoral-Pharma,Open-ended,16.51,3 ( 20 ) ,44.41,7 ( 17 ) ,30.06,6 ( 15 ) ,-,-,-,-,-,-
Aditya Birla Sun Life Nifty IT ETF,Equity: Sectoral-Technology,Open-ended,9.46,17 ( 21 ) ,28.94,14 ( 15 ) ,17.26,13 ( 13 ) ,-,-,-,-,-,-
Aditya Birla Sun Life Nifty Midcap 150 Index Fund - Direct Plan,Equity: Mid Cap,Open-ended,23.1,24 ( 46 ) ,57.83,16 ( 45 ) ,45.03,9 ( 36 ) ,27.88,7 ( 31 ) ,-,-,-,-
Aditya Birla Sun Life Nifty Midcap 150 Index Fund - Regular Plan,Equity: Mid Cap,Open-ended,22.76,28 ( 46 ) ,56.92,20 ( 45 ) ,44.11,14 ( 36 ) ,27.05,10 ( 31 ) ,-,-,-,-
Aditya Birla Sun Life Nifty Next 50 ETF,Equity: Large Cap,Open-ended,35.7,1 ( 156 ) ,66.24,13 ( 150 ) ,40.78,8 ( 130 ) ,24.33,8 ( 108 ) ,22.1,5 ( 91 ) ,-,-
Aditya Birla Sun Life Nifty Next 50 Index Fund - Direct Plan,Equity: Large Cap,Open-ended,35.38,2 ( 156 ) ,65.57,14 ( 150 ) ,40.27,14 ( 130 ) ,-,-,-,-,-,-
Aditya Birla Sun Life Nifty Next 50 Index Fund - Regular Plan,Equity: Large Cap,Open-ended,34.78,19 ( 156 ) ,64.43,30 ( 150 ) ,39.31,28 ( 130 ) ,-,-,-,-,-,-
Aditya Birla Sun Life Nifty Smallcap 50 Index Fund - Direct Plan,Equity: Small Cap,Open-ended,21.53,27 ( 39 ) ,72.89,5 ( 34 ) ,49.57,6 ( 28 ) ,20.44,25 ( 25 ) ,-,-,-,-
Aditya Birla Sun Life Nifty Smallcap 50 Index Fund - Regular Plan,Equity: Small Cap,Open-ended,21.18,28 ( 39 ) ,71.94,4 ( 34 ) ,48.64,5 ( 28 ) ,19.67,25 ( 25 ) ,-,-,-,-
Aditya Birla Sun Life Pharma & Healthcare Fund - Direct Plan,Equity: Sectoral-Pharma,Open-ended,13.25,11 ( 20 ) ,46.07,4 ( 17 ) ,30.84,7 ( 15 ) ,14.29,6 ( 13 ) ,-,-,-,-
Aditya Birla Sun Life Pharma & Healthcare Fund - Regular Plan,Equity: Sectoral-Pharma,Open-ended,12.43,17 ( 20 ) ,44.04,8 ( 17 ) ,29.03,10 ( 15 ) ,12.63,9 ( 13 ) ,-,-,-,-
Aditya Birla Sun Life PSU Equity Fund - Direct Plan,Equity: Thematic-PSU,Open-ended,29.19,4 ( 5 ) ,93.65,3 ( 5 ) ,65.97,3 ( 4 ) ,42.22,1 ( 4 ) ,-,-,-,-
