Daily NAV Change as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3
Edelweiss Small Cap Fund - Regular Plan,43.304,43.051,0.59
Franklin India Smaller Companies Fund,182.5996,181.9441,0.36
HDFC Small Cap Fund - Regular Plan,135.349,134.437,0.68
HSBC Small Cap Fund,86.3023,85.9956,0.36
ICICI Prudential Smallcap Fund,89.51,88.99,0.58
Invesco India Smallcap Fund - Regular Plan,38.89,38.63,0.67
Kotak Small Cap Fund - Regular Plan,269.434,267.632,0.67
Mahindra Manulife Small Cap Fund - Regular Plan,19.7587,19.6475,0.57
Nippon India Small Cap Fund,174.5421,172.8804,0.96
PGIM India Small Cap Fund - Regular Plan,15.45,15.43,0.13
SBI Small Cap Fund,178.9445,176.9086,1.15
Sundaram Small Cap Fund - Regular Plan,252.1672,251.555,0.24
Tata Small Cap Fund - Regular Plan,40.0127,39.6974,0.79
Union Small Cap Fund - Regular Plan,48.35,48.08,0.56
UTI Small Cap Fund - Regular Plan,24.8995,24.7997,0.4
NIFTY Smallcap 100 Total Return Index,23899.46,23653.6,1.04
NIFTY Smallcap 100 Index,18700.55,18509.05,1.03
NIFTY Midcap 100 Total Return Index,75762.34,75172.04,0.79
S&P BSE 500 Total Return Index,45722.94,45374.55,0.77
S&P BSE 250 SmallCap Total Return Index,8690.42,8616.73,0.86
,,,
Value Funds,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Pure Value Fund - Regular Plan,125.9435,125.0557,0.71
Bandhan Sterling Value Fund - Regular Plan,148.825,147.768,0.72
Canara Robeco Value Fund - Regular Plan,17.93,17.8,0.73
HDFC Capital Builder Value Fund,709.957,705.058,0.69
HSBC Value Fund,108.5059,107.8103,0.65
ICICI Prudential Value Discovery Fund,431.72,429.34,0.55
Nippon India Value Fund,219.7336,218.2351,0.69
Quantum Long Term Equity Value Fund - Regular Plan,122.14,121.35,0.65
Tata Equity PE Fund - Regular Plan,358.1765,354.1377,1.14
Templeton India Value Fund,735.8129,730.4008,0.74
UTI Value Fund - Regular Plan,161.5769,160.1194,0.91
S&P BSE Enhanced Value Total Return Index,1672.79,1657.09,0.95
S&P BSE Enhanced Value Index,984.77,975.53,0.95
NIFTY 50 Total Return,35947.53,35706.77,0.67
NIFTY Midcap 100 Total Return Index,75762.34,75172.04,0.79
S&P BSE 200 Total Return Index,14282.65,14177.17,0.74
S&P BSE 500 Total Return Index,45722.94,45374.55,0.77
NIFTY 500 Total Return Index,35966.18,35693.16,0.76
,,,
Sector-MNC Schemes,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life MNC Fund - Regular Plan,1394.01,1392.18,0.13
ICICI Prudential MNC Fund,28.35,28.15,0.71
SBI Magnum Global Fund,371.1395,369.9692,0.32
UTI MNC Fund - Regular Plan,404.0833,403.1357,0.24
NIFTY MNC Total Return Index,47402.07,47147.74,0.54
NIFTY MNC Index,30661.35,30496.85,0.54
NIFTY 50 Total Return,35947.53,35706.77,0.67
S&P BSE 200 Total Return Index,14282.65,14177.17,0.74
,,,
Gennext,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life India GenNext Fund - Regular Plan,207.24,206.15,0.53
Baroda BNP Paribas India Consumption Fund - Regular Plan,30.5676,30.4446,0.4
Canara Robeco Consumer Trends Fund - Regular Plan,105.67,105.1,0.54
ICICI Prudential Bharat Consumption Fund,24.3,24.19,0.45
Mirae Asset Great Consumer Fund - Regular Plan,90.197,89.966,0.26
Nippon India Consumption Fund,195.8146,194.4209,0.72
Sundaram Consumption Fund - Regular Plan,91.4978,91.2524,0.27
Tata India Consumer Fund - Regular Plan,41.9104,41.7074,0.49
UTI India Consumer Fund - Regular Plan,56.8093,56.631,0.31
S&P BSE 500 Total Return Index,45722.94,45374.55,0.77
S&P BSE 500 Index,36096.07,35821.13,0.77
S&P BSE 200 Total Return Index,14282.65,14177.17,0.74
NIFTY India Consumption Total Return Index,13926.26,13854.68,0.52
,,,
Banking & Financial Services,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Banking & Financial Services Fund - Regular Plan,56.94,56.34,1.06
HDFC Banking & Financial Services Fund - Regular Plan,15.923,15.72,1.29
ICICI Prudential Banking and Financial Services Fund,121.08,119.45,1.36
Invesco India Financial Services Fund,122.7,121.37,1.1
Kotak Banking & Financial Services Fund - Regular Plan,14.329,14.106,1.58
Mirae Asset Banking and Financial Services Fund - Regular Plan,18.962,18.718,1.3
Nippon India Banking & Financial Services Fund,571.5951,563.8512,1.37
SBI Banking & Financial Services Fund - Regular Plan,37.8108,37.1668,1.73
Sundaram Financial Services Opportunities Fund - Regular Plan,100.1177,98.9481,1.18
Tata Banking and Financial Services Fund - Regular Plan,39.0415,38.4908,1.43
UTI Banking and Financial Services Fund - Regular Plan,173.2264,171.0026,1.3
NIFTY Financial Services Total Return Index,29965.53,29435.83,1.8
NIFTY Financial Services Index,23923.75,23500.85,1.8
NIFTY Bank,53089.25,52168.1,1.77
NIFTY Bank Total Return Index,73270.32,71999.01,1.77
,,,
Digital Funds,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Digital India Fund - Regular Plan,166.75,166.68,0.04
Franklin India Technology Fund,502.0876,501.8201,0.05
ICICI Prudential Technology Fund,187.86,187.39,0.25
SBI Technology Opportunities Fund,115.9864,115.9638,0.02
Tata Digital India Fund - Regular Plan,46.3722,46.3687,0.01
S&P BSE Teck Total Return Index,23067.19,23029.18,0.17
S&P BSE Teck Index,17519.19,17490.33,0.17
,,,
Dividend Yield Fund,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Dividend Yield Fund - Regular Plan,453.15,449.57,0.8
HDFC Dividend Yield Fund - Regular Plan,25.065,24.883,0.73
ICICI Prudential Dividend Yield Equity Fund,49.57,49.24,0.67
LIC MF Dividend Yield Fund - Regular Plan,30.0884,29.8231,0.89
SBI Dividend Yield Fund - Regular Plan,15.316,15.2409,0.49
Sundaram Dividend Yield Fund,137.5008,136.3856,0.82
Tata Dividend Yield Fund - Regular Plan,18.4512,18.2609,1.04
Templeton India Equity Income Fund,138.89,137.7361,0.84
UTI Dividend Yield Fund - Regular Plan,171.1963,169.6873,0.89
NIFTY Dividend Opportunities 50 Total Return Index,9614.19,9536.67,0.81
NIFTY Dividend Opportunities 50 Index,6326.2,6275.2,0.81
NIFTY 50 Total Return,35947.53,35706.77,0.67
S&P BSE 200 Total Return Index,14282.65,14177.17,0.74
S&P BSE 500 Total Return Index,45722.94,45374.55,0.77
NIFTY 500 Total Return Index,35966.18,35693.16,0.76
,,,
PSU Funds,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life PSU Equity Fund - Regular Plan,35.64,35.25,1.11
ICICI Prudential PSU Equity Fund,21.21,21.02,0.9
Invesco India PSU Equity Fund,68.16,67.09,1.59
SBI PSU Fund,33.1138,32.7573,1.09
S&P BSE PSU Total Return Index,35264.36,34683.84,1.67
S&P BSE PSU Index,21476.81,21123.26,1.67
NIFTY PSE Index,10888.05,10714.65,1.62
NIFTY PSE Total Return Index,18826.3,18526.43,1.62
,,,
Make in India,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Manufacturing Equity Fund - Regular Plan,32.23,31.97,0.81
Axis India Manufacturing Fund - Regular Plan,14.11,14.02,0.64
ICICI Prudential Manufacturing Fund,36.06,35.86,0.56
Kotak Manufacture in India Fund - Regular Plan,19.045,18.928,0.62
S&P BSE 500 Total Return Index,45722.94,45374.55,0.77
S&P BSE 500 Index,36096.07,35821.13,0.77
