Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Returns(%),Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Scheme Name,Category,Issue Open,AAUM (Rs Cr),YTD,1 Day,7 Days,14 Days,30 Days,60 Days,90 Days,180 Days,270 Days
Open-ended,,,,,,,,,,,,
Bajaj Finserv Nifty 50 ETF,Equity: Large Cap,2024-01-15 00:00:00,54.5,-,0.67,1.76,3.32,4.57,8.6,8.8,-,-
Bajaj Finserv Nifty Bank ETF,Equity: Sectoral-Banking,2024-01-15 00:00:00,162.45,-,1.76,0.47,3.37,4.22,9.14,12.11,-,-
Bandhan Financial Services Fund - Regular Plan,Equity: Sectoral-Banking,2023-07-10 00:00:00,796.27,15.07,1,1.19,2.73,6.35,6.91,10.49,15.41,31.2
Bandhan Innovation Fund - Regular Plan,Equity: Thematic,2024-04-10 00:00:00,767.76,-,0.73,2.72,4.06,8.98,11.5,-,-,-
Bandhan Nifty Alpha 50 Index Fund - Regular Plan,Equity: Large Cap,2023-10-25 00:00:00,70.06,33.27,1.43,2.18,2.2,2.59,11.44,15.1,32.84,-
Bandhan Nifty IT Index Fund - Regular Plan,Equity: Sectoral-Technology,2023-08-18 00:00:00,17.05,5.75,0.04,5.35,6.77,14.65,14.15,7.12,9.21,20.1
Bandhan Nifty Smallcap 250 Index Fund - Regular Plan,Equity: Small Cap,2023-12-12 00:00:00,29.25,24.18,0.89,2.32,3.24,9.54,10.54,15.8,23.33,-
Bandhan Nifty Total Market Index Fund - Regular Plan,Equity: Flexi Cap,2024-06-24 00:00:00,-,-,-,-,-,-,-,-,-,-
Baroda BNP Paribas Innovation Fund - Regular Plan,Equity: Thematic,2024-02-14 00:00:00,1019.37,-,0.73,2.65,3.32,8.56,12.13,15.23,-,-
Baroda BNP Paribas Manufacturing Fund - Regular Plan,Equity: Thematic,2024-06-10 00:00:00,-,-,-,-,-,-,-,-,-,-
Baroda BNP Paribas NIFTY 50 Index Fund - Regular Plan,Equity: Large Cap,2024-01-08 00:00:00,62.62,-,0.67,1.75,3.29,4.64,8.63,8.78,-,-
Baroda BNP Paribas Nifty Bank ETF,Equity: Sectoral-Banking,2024-05-31 00:00:00,-,-,1.75,0.47,-,-,-,-,-,-
Baroda BNP Paribas Small Cap Fund - Regular Plan,Equity: Small Cap,2023-10-06 00:00:00,1368.48,23.83,1.02,3.25,4.51,8.48,10.1,16.65,23.22,-
Canara Robeco Manufacturing Fund - Regular Plan,Equity: Thematic,2024-02-16 00:00:00,1374.49,-,0.95,2.58,3.58,7.98,18,22.66,-,-
Canara Robeco Multi Cap Fund - Regular Plan,Equity: Multi Cap,2023-07-07 00:00:00,2300.02,19.02,0.51,1.68,2.43,5.95,11.66,15.17,19.54,34.72
DSP Banking & Financial Services Fund - Regular Plan,Equity: Sectoral-Banking,2023-11-20 00:00:00,684.91,12.95,1.44,1.39,3.53,4.76,7.13,12.12,13.02,-
DSP BSE Sensex ETF,Equity: Large Cap,2023-07-17 00:00:00,6.95,11.41,0.68,1.68,3.5,4.8,8.85,8.84,12.79,23.01
DSP Multicap Fund - Regular Plan,Equity: Multi Cap,2024-01-08 00:00:00,1037.46,-,0.29,0.74,1.81,8.16,11.99,17.41,-,-
DSP Nifty Bank Index Fund - Regular Plan,Equity: Sectoral-Banking,2024-05-15 00:00:00,29.64,-,1.75,0.46,3.34,4.15,-,-,-,-
DSP Nifty Healthcare ETF,Equity: Sectoral-Pharma,2024-01-11 00:00:00,8.08,-,0.76,2.11,1.68,6.77,5.06,4.21,-,-
DSP Nifty Private Bank ETF,Equity: Sectoral-Banking,2023-07-17 00:00:00,75.56,6.94,2.02,0.63,3.83,5.99,9.56,12.07,8.24,15.68
DSP Nifty PSU Bank ETF,Equity: Sectoral-Banking,2023-07-17 00:00:00,35.67,27.65,1.05,-1.56,-3.02,-9.24,-3.02,-0.07,25.72,35.38
DSP Nifty Smallcap250 Quality 50 Index Fund - Regular Plan,Equity: Thematic,2023-12-05 00:00:00,72.92,22.57,0.85,3.38,4.77,13.19,13.03,16.72,21.85,-
Edelweiss Business Cycle Fund - Regular Plan,Equity: Thematic,2024-07-09 00:00:00,-,-,-,-,-,-,-,-,-,-
Edelweiss Multi Cap Fund - Regular Plan,Equity: Multi Cap,2023-10-04 00:00:00,1874.95,24.38,0.71,2.26,3.47,8.34,12.81,15.36,25.1,-
Edelweiss Nifty Alpha Low Volatility 30 Index Fund - Regular Plan,Equity: Large Cap,2024-04-26 00:00:00,76.99,-,0.48,1.13,1.72,3.51,-,-,-,-
Edelweiss Technology Fund - Regular Plan,Equity: Sectoral-Technology,2024-02-14 00:00:00,476.78,-,0.59,3.61,3.89,12.51,15.37,12.75,-,-
Franklin India Multi Cap Fund - Regular Plan,Equity: Multi Cap,2024-07-08 00:00:00,-,-,-,-,-,-,-,-,-,-
Groww Banking & Financial Services Fund - Regular Plan,Equity: Sectoral-Banking,2024-01-17 00:00:00,36.62,-,1.31,0.92,2.9,3.96,5.6,8.92,-,-
Groww Nifty Non-Cyclical Consumer Index Fund - Regular Plan,Equity: Thematic-Consumption,2024-05-02 00:00:00,21.13,-,0.39,0.77,1.28,6.68,-,-,-,-
Groww Nifty Smallcap 250 Index Fund - Regular Plan,Equity: Small Cap,2024-02-09 00:00:00,54.02,-,0.89,2.31,3.22,9.61,10.6,15.8,-,-
Groww Nifty Total Market Index Fund - Regular Plan,Equity: Flexi Cap,2023-10-03 00:00:00,145.38,17.59,0.76,1.86,2.88,5.13,9.32,11.12,17.92,-
HDFC Manufacturing Fund - Regular Plan,Equity: Thematic,2024-04-26 00:00:00,10345.66,-,0.48,1.44,1.55,3.5,-,-,-,-
